[OK] g2b1:a3795c2f8ea9 | g1rc=1 g2rc=0 | 19 passed in 0.29s
[GATE2_PASS_MISSING(正解也不过=verifier坏)] g2b1:7eed69f1f35f | g1rc=1 g2rc=1 | 1 failed in 0.47s
[OK] g2b1:49862b2ba3d4 | g1rc=1 g2rc=0 | 7 passed in 0.49s
[OK] g2b1:582d42f70ca1 | g1rc=1 g2rc=0 | 8 passed in 0.31s
[OK] g2b1:f9725fb6426d | g1rc=1 g2rc=0 | 6 passed in 0.28s
[OK] g2b1:24ee0351d751 | g1rc=1 g2rc=0 | 9 passed in 0.28s
[OK] g2b1:84d541441d6f | g1rc=1 g2rc=0 | 8 passed in 0.31s
[OK] g2b1:061623c7f9c1 | g1rc=1 g2rc=0 | 5 passed in 0.17s
[OK] g2b1:1aae16f3c5c3 | g1rc=1 g2rc=0 | 35 passed in 0.98s
[OK] g2b1:93b544895780 | g1rc=1 g2rc=0 | 43 passed in 0.19s
[OK] g2b1:748a21180b92 | g1rc=2 g2rc=0 | 31 passed in 0.18s
[OK] g2b1:355a214f29d4 | g1rc=1 g2rc=0 | 5 passed in 0.22s
[OK] g2b1:8ccb6ffbfcb6 | g1rc=1 g2rc=0 | 15 passed in 0.18s
[OK] g2b1:dfb2cca7b8c0 | g1rc=1 g2rc=0 | 28 passed in 1.03s
[OK] g2b1:6f1eb3fb6bf0 | g1rc=2 g2rc=0 | 28 passed in 1.05s
[OK] g2b1:fcb979afafc8 | g1rc=1 g2rc=0 | 7 passed in 0.25s
[OK] g2b1:ac5541e47e9e | g1rc=1 g2rc=0 | 34 passed in 0.20s
[OK] g2b1:252c52ec6161 | g1rc=1 g2rc=0 | 21 passed in 0.22s
[OK] g2b1:de6720fa3496 | g1rc=1 g2rc=0 | 14 passed in 2.62s
[OK] g2b1:ffbe0dfb38ba | g1rc=1 g2rc=0 | 5 passed in 0.18s
[OK] g2b1:d60b44f93eb8 | g1rc=1 g2rc=0 | 21 passed in 0.14s
[OK] g2b1:81616966a559 | g1rc=1 g2rc=0 | 8 passed in 2.69s
[OK] g2b1:e8ddf11f82b9 | g1rc=1 g2rc=0 | 4 passed in 3.03s
[OK] g2b1:f08c1c9e3422 | g1rc=1 g2rc=0 | 5 passed in 3.16s
[OK] g2b1:32250027d328 | g1rc=1 g2rc=0 | 18 passed in 0.15s
[OK] g2b1:eaa48d6132c4 | g1rc=1 g2rc=0 | 16 passed in 0.15s
[OK] g2b1:28e4fe302736 | g1rc=1 g2rc=0 | 7 passed in 2.96s
[OK] g2b1:8c3094c5a4b6 | g1rc=1 g2rc=0 | 12 passed in 3.03s
[OK] g2b1:8f1deb5724b3 | g1rc=1 g2rc=0 | 13 passed in 0.13s
[OK] g2b1:d821039cf687 | g1rc=2 g2rc=0 | 10 passed in 0.10s
[OK] g2b1:ca8ddb890126 | g1rc=1 g2rc=0 | 5 passed in 1.20s
[OK] g2b1:23b0d6d2f306 | g1rc=2 g2rc=0 | 5 passed in 1.06s
SUMMARY: {'OK': 31, 'GATE2_PASS_MISSING(正解也不过=verifier坏)': 1}
