total=156 done=0 pending=156
done 11cc7ac2 0.0->0 (ok)
done 059974dd 1.0->1 (ok)
done 12286151 1.0->1 (ok)
done 18b91103 0.0->0 (ok)
done 12f8cfd2 1.0->1 (ok)
done 191184f3 1.0->1 (ok)
done 109b334c 1.0->1 (ok)
done 123b74fb 0.0->0 (ok)
done 285db8ec 0.0->0 (ok)
done 19935d2d 1.0->1 (ok)
done 2ad054b5 1.0->1 (ok)
done 2f6a21cd 1.0->1 (ok)
done 302bf60e 1.0->1 (ok)
done 247bf724 1.0->1 (ok)
done 2fab8b79 1.0->1 (ok)
done 3a7a7880 1.0->1 (ok)
done 3a836b31 1.0->1 (ok)
done 329742b1 0.0->1 (ok)
done 48a52262 1.0->1 (ok)
done 4964afed 0.0->0 (ok)
done 45d1e7f1 1.0->1 (ok)
done 50d92f55 1.0->1 (ok)
done 43d9c5d0 1.0->0 (ok)
done 571b841c 1.0->1 (ok)
done 3daef058 1.0->1 (ok)
done 579557d8 1.0->1 (ok)
done 5849c18b 1.0->1 (ok)
done 57cd3560 1.0->0 (ok)
done 50bfa714 1.0->0 (ok)
done 5ca112bf 1.0->0 (ok)
done 6c285a23 1.0->0 (ok)
done 6fdda2fc 1.0->0 (ok)
done 6e0759a2 0.0->1 (ok)
done 7351cbcc 1.0->1 (ok)
done 7df9e2ff 1.0->1 (ok)
done 71026f57 1.0->1 (ok)
done 8bc6d989 1.0->0 (ok)
done 8e21c6e5 0.0->0 (ok)
done 7586cf7c 0.0->0 (ok)
done 8d0400e5 1.0->1 (ok)
done 9b34f55b 1.0->1 (ok)
done 99bc5d0d 1.0->1 (ok)
done 93d0613b 0.0->1 (ok)
done 823d133a 1.0->0 (ok)
done a58c5548 1.0->1 (ok)
done af2ebaed 1.0->1 (ok)
done a667402d 1.0->1 (ok)
done a8959d04-abs 1.0->1 (ok)
done b15314c0 1.0->1 (ok)
done b82d0dd6 1.0->0 (ok)
done bdfef1b9 1.0->1 (ok)
done bf4f8b37 1.0->1 (ok)
done 9ff0ffff 0.0->1 (ok)
done c4c0e117 1.0->1 (ok)
done ce9aa351 0.0->0 (ok)
done cbcd74ae 1.0->1 (ok)
done c35bfeed 0.0->1 (ok)
done d1f82e80 0.0->0 (ok)
done d72fb64d 0.0->0 (ok)
done dc41b134 1.0->1 (ok)
done dbe1a814 1.0->1 (ok)
done d0e556eb 1.0->1 (ok)
done ce1cdb2d 0.0->1 (ok)
done eb8cf28b 1.0->0 (ok)
done ee5252a3 1.0->1 (ok)
done fa504f5e 0.0->0 (ok)
done ebad58ed 1.0->1 (ok)
done de0abc47 1.0->1 (ok)
done 0382ed92 0.0->0 (ok)
done fb56a896 0.0->0 (ok)
done 0574c69a 1.0->1 (ok)
done 07a0145f 0.0->0 (ok)
done f02bec54 1.0->1 (ok)
done 01f6e679 0.0->1 (ok)
done 0a13e290 1.0->1 (ok)
done 0af83ccc 1.0->1 (ok)
done 0401f0c8 0.0->0 (ok)
done 1a89c3ac 0.0->0 (ok)
done 1d864942 0.0->0 (ok)
done 0cd6dc43 0.0->0 (ok)
done 0ace674b 1.0->1 (ok)
done 1e77eb4b 1.0->1 (ok)
done 21f3228c 1.0->1 (ok)
done 1fec75e5 1.0->1 (ok)
done 21df0107 1.0->1 (ok)
done 2408b115 1.0->1 (ok)
done 2cc1b9ca 1.0->1 (ok)
done 196a68fb 0.0->1 (ok)
